"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @eloiseemily: Imagine how good this country would be if The Greens had more influence and power! Caroline Lucas is such an icon #itvdeba…"|FALSE|0|NA|2017-05-20 23:59:38|FALSE|NA|"866081009820991488"|NA|"<a href=\"http://www.twitter.com\" rel=\"nofollow\">Twitter for Windows</a>"|"weealanb"|229|TRUE|FALSE|NA|NA
"RT @JerryLonsdale1: I agree with Tim, shame he is a lone voice speaking for 16 million plus of us, #LeadersDebate #LibDems"|FALSE|1|NA|2017-05-20 23:55:04|FALSE|NA|"866079858912264192"|NA|"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>"|"lesbonner"|0|FALSE|FALSE|NA|NA
"RT @MoneySavingExp: Martin Lewis shares some #MoneySaving reasons why you should #RegisterToVote by Mon 22 May https://t.co/hlHetzwxyt #Lea…"|FALSE|0|NA|2017-05-20 23:50:03|FALSE|NA|"866078597689348096"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"hassanzerrouk"|47|TRUE|FALSE|NA|NA
"RT @Jamin2g: They're literally laughing at him.  #LeadersDebate #ITVdebate #GE2017 https://t.co/IgyUSoqv4h"|FALSE|0|NA|2017-05-20 23:48:32|FALSE|NA|"866078217182040064"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"cYJb6vJ90p5jqJO"|1519|TRUE|FALSE|NA|NA
"RT @BBCScotlandNews: Tomorrow the BBC Scottish #LeadersDebate with @DavidCoburnUKip @kezdugdale @NicolaSturgeon @patrickharvie @RuthDavidso…"|FALSE|0|NA|2017-05-20 23:47:19|FALSE|NA|"866077911371177985"|NA|"<a href=\"http://www.twitter.com\" rel=\"nofollow\">Twitter for Windows</a>"|"carmcd79"|134|TRUE|FALSE|NA|NA
"RT @BBCScotlandNews: On Sunday @NicolaSturgeon @patrickharvie @RuthDavidsonMSP @willie_rennie @DavidCoburnUKip @kezdugdale join BBC One Sco…"|FALSE|0|NA|2017-05-20 23:43:05|FALSE|NA|"866076845778907138"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"killhopelaw"|39|TRUE|FALSE|NA|NA
"RT @BBCScotlandNews: Tomorrow the BBC Scottish #LeadersDebate with @DavidCoburnUKip @kezdugdale @NicolaSturgeon @patrickharvie @RuthDavidso…"|FALSE|0|NA|2017-05-20 23:38:54|FALSE|NA|"866075792098373632"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"trickytroggle1"|134|TRUE|FALSE|NA|NA
"RT @MoneySavingExp: Martin Lewis shares some #MoneySaving reasons why you should #RegisterToVote by Mon 22 May https://t.co/hlHetzwxyt #Lea…"|FALSE|0|NA|2017-05-20 23:36:18|FALSE|NA|"866075137405313025"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"andrewradmore"|47|TRUE|FALSE|NA|NA
"RT @champagne_lefty: #LeadersDebate Paul Nuttall proving conclusively that he has the intellectual depth of Homer.....Simpson...<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"|FALSE|0|NA|2017-05-20 23:35:40|FALSE|NA|"866074978172764167"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"nadkinjad"|24|TRUE|FALSE|NA|NA
"RT @Jamin2g: They're literally laughing at him.  #LeadersDebate #ITVdebate #GE2017 https://t.co/IgyUSoqv4h"|FALSE|0|NA|2017-05-20 23:35:12|FALSE|NA|"866074860707033089"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"nadkinjad"|1519|TRUE|FALSE|NA|NA
"RT @BBCScotlandNews: On Sunday @NicolaSturgeon @patrickharvie @RuthDavidsonMSP @willie_rennie @DavidCoburnUKip @kezdugdale join BBC One Sco…"|FALSE|0|NA|2017-05-20 23:32:02|FALSE|NA|"866074063730507777"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"KateCushing2"|39|TRUE|FALSE|NA|NA
"RT @MoneySavingExp: Martin Lewis shares some #MoneySaving reasons why you should #RegisterToVote by Mon 22 May https://t.co/hlHetzwxyt #Lea…"|FALSE|0|NA|2017-05-20 23:17:44|FALSE|NA|"866070464371752960"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"blotie75"|47|TRUE|FALSE|NA|NA
"RT @BBCScotlandNews: Tomorrow the BBC Scottish #LeadersDebate with @DavidCoburnUKip @kezdugdale @NicolaSturgeon @patrickharvie @RuthDavidso…"|FALSE|0|NA|2017-05-20 23:09:58|FALSE|NA|"866068512091119617"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Jinkx_Psycho"|134|TRUE|FALSE|NA|NA
"RT @BBCScotlandNews: Tomorrow the BBC Scottish #LeadersDebate with @DavidCoburnUKip @kezdugdale @NicolaSturgeon @patrickharvie @RuthDavidso…"|FALSE|0|NA|2017-05-20 23:05:07|FALSE|NA|"866067291217199104"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"LaurenMaclean65"|134|TRUE|FALSE|NA|NA
