"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @RexApolloPound: An EU referendum? That's very thoughtful of you Tim, but we've already had one. #LibDemManifesto #VoteFishFinger https:…"|FALSE|0|NA|2017-05-19 23:24:01|FALSE|NA|"865709658799058945"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"MaxGreenpi1"|55|TRUE|FALSE|NA|NA
"RT @Femi_Sorry: #LibDemManifesto promises you a choice on the Brexit deal. Why? You were told we'd keep single market access. Wrong https:/…"|FALSE|0|NA|2017-05-19 23:22:00|FALSE|NA|"865709153523781633"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"annetteashley61"|15|TRUE|FALSE|NA|NA
"Nick Clegg loses it with Piers Morgan over tuition fees question: 'You are so pompous'  https://t.co/HMcLXu96UW   #GE2017 #LibDemManifesto"|FALSE|0|NA|2017-05-19 23:13:59|FALSE|NA|"865707135186878464"|NA|"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>"|"alchetect"|0|FALSE|FALSE|NA|NA
"Jesus will always be in charge he is also a Awsome role model #Election2017 #LabourManifesto #Conservative… https://t.co/YFpTvLJMCT"|FALSE|1|NA|2017-05-19 23:05:47|TRUE|NA|"865705070322700289"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"stevenmatthew36"|0|FALSE|FALSE|NA|NA
"RT @LibDems: 12 great policies you won't fins anywhere else other than the #LibDemManifesto http://t.co/7l5xQYoeUf #GE2015 http://t.co/8uAT…"|FALSE|0|NA|2017-05-19 22:53:05|FALSE|NA|"865701875064156160"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"johnw129"|20|TRUE|FALSE|NA|NA
"RT @LeftieLawyer: Libdems have some bloody cheek claiming they represent the youth vote after tripling tuition fees. #libdemmanifesto #Vote…"|FALSE|0|NA|2017-05-19 22:42:03|FALSE|NA|"865699099361689600"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"WomenCanSee"|155|TRUE|FALSE|NA|NA
"RT @LibDems: 12 great policies you won't fins anywhere else other than the #LibDemManifesto http://t.co/7l5xQYoeUf #GE2015 http://t.co/8uAT…"|FALSE|0|NA|2017-05-19 22:36:33|FALSE|NA|"865697714222321667"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"LudoTC"|20|TRUE|FALSE|NA|NA
"RT @HughRBennett: This is downright dishonesty from the @LibDems. UK law grants 52 weeks maternity leave. EU statutory minimum is 14 weeks.…"|FALSE|0|NA|2017-05-19 22:35:30|FALSE|NA|"865697449834414081"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"TasleemMulhall"|1059|TRUE|FALSE|NA|NA
"RT @NHSMillion: The #LibDemManifesto pledges an extra 1p in income tax to fund a £6bn NHS cash injection - RT if you think it's a good idea…"|FALSE|0|NA|2017-05-19 22:21:40|FALSE|NA|"865693969216417793"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"NicolaP61813402"|426|TRUE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 21:31:21|FALSE|NA|"865681307648618496"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"Trundlelin"|9|TRUE|FALSE|NA|NA
"RT @NHSMillion: The #LibDemManifesto pledges an extra 1p in income tax to fund a £6bn NHS cash injection - RT if you think it's a good idea…"|FALSE|0|NA|2017-05-19 21:18:08|FALSE|NA|"865677980894240768"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"sallycrackerdog"|426|TRUE|FALSE|NA|NA
"@cheng_christine Great to meet you last night! Thanks so much for joining<U+200B> us. #libdemmanifesto #brighterfuture"|FALSE|0|"cheng_christine"|2017-05-19 20:50:17|FALSE|NA|"865670971482656769"|"275498007"|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"RakheeV"|0|FALSE|FALSE|NA|NA
"RT @matthewminikin: More reasons to vote @LibDems... don't let @Nigel_Farage win.. #LibDemManifesto https://t.co/WSwyt7dZun"|FALSE|0|NA|2017-05-19 20:36:26|FALSE|NA|"865667486280282112"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"BracknellLibDem"|4|TRUE|FALSE|NA|NA
"RT @HughRBennett: This is downright dishonesty from the @LibDems. UK law grants 52 weeks maternity leave. EU statutory minimum is 14 weeks.…"|FALSE|0|NA|2017-05-19 20:25:20|FALSE|NA|"865664692248858624"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"LRMansfield47"|1059|TRUE|FALSE|NA|NA
"RT @wwwfoecouk: Great that @LibDems want to refocus support for farmers towards practices that are good for environment. All parties should…"|FALSE|0|NA|2017-05-19 20:20:24|FALSE|NA|"865663451196137473"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"CooperationRes"|16|TRUE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 20:16:43|FALSE|NA|"865662522526908417"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"SParkerGGG"|9|TRUE|FALSE|NA|NA
"RT @stumactweet: 2/3 #guessthemanifesto from the word cloud #LabourManifesto #LibDemManifesto or #ConservativeManifesto https://t.co/iq9G5H…"|FALSE|0|NA|2017-05-19 20:16:09|FALSE|NA|"865662382932058112"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Mark_Bradds"|2|TRUE|FALSE|NA|NA
"RT @stumactweet: 1/3 #guessthemanifesto from the word cloud #LabourManifesto #LibDemManifesto or #ConservativeManifesto https://t.co/M1vKaO…"|FALSE|0|NA|2017-05-19 20:16:04|FALSE|NA|"865662359116939264"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Mark_Bradds"|2|TRUE|FALSE|NA|NA
"RT @stumactweet: 3/3 #guessthemanifesto from the word cloud #LabourManifesto #LibDemManifesto or #ConservativeManifesto https://t.co/GBwtZN…"|FALSE|0|NA|2017-05-19 20:15:55|FALSE|NA|"865662323549028355"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Mark_Bradds"|2|TRUE|FALSE|NA|NA
"#LibDemManifesto talks sense on NHS and elderly care https://t.co/ngKVNPvrcO"|FALSE|0|NA|2017-05-19 20:10:43|FALSE|NA|"865661011923226625"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"tanglegarden"|0|FALSE|FALSE|NA|NA
"RT @MaidstoneKebab: #IO17 #worldbakingday #loveislove #LibDemManifesto Romero #SOUMUN Bailly Google Assistant Enda Kenny Boris Johnson #Mai…"|FALSE|0|NA|2017-05-19 20:07:29|FALSE|NA|"865660201743007744"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"mt_krks"|1|TRUE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 20:01:56|FALSE|NA|"865658803630505984"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"grumpygit2"|9|TRUE|FALSE|NA|NA
"RT @Acuitas_Comms: Check-out our brief on #GE17 Manifesto week #LabourManifesto #ConservativeManifesto #LibDemManifesto https://t.co/4vQwzI…"|FALSE|0|NA|2017-05-19 20:00:29|FALSE|NA|"865658439548018688"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"frasersl"|1|TRUE|FALSE|NA|NA
"Check-out our brief on #GE17 Manifesto week #LabourManifesto #ConservativeManifesto #LibDemManifesto… https://t.co/SGl1C6ZWmA"|FALSE|0|NA|2017-05-19 19:59:31|TRUE|NA|"865658193090797568"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"Acuitas_Comms"|1|FALSE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 19:59:25|FALSE|NA|"865658170101743616"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"SheronWilkie"|9|TRUE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 19:56:14|FALSE|NA|"865657370743099393"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"LibDemFrance"|9|TRUE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 19:50:20|FALSE|NA|"865655885187633152"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"cmwheatley56"|9|TRUE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 19:41:25|FALSE|NA|"865653638600941571"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"asymetricjockey"|9|TRUE|FALSE|NA|NA
"RT @lesbonner: RT @Paul_D1963: #Libdems will give 2nd EU ref on #Brexit. After 36 years as  a @UKLabour voter @Libdems now have my vote #Li…"|FALSE|0|NA|2017-05-19 19:31:28|FALSE|NA|"865651137377992704"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"trevdick"|9|TRUE|FALSE|NA|NA
"#GE2017 #LibDemManifesto  #JoeBourke candidate #BrentfordIsleworth return to existing corp tax rate will fund educa… https://t.co/982dp1n7Ft"|FALSE|0|NA|2017-05-19 19:29:17|TRUE|NA|"865650588247183361"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"bancstreet"|0|FALSE|FALSE|NA|NA
